"cat01_code","平成29水稲被害面積被害量","cat02_code","平成29水稲被害率被害量","area_code","全国、都府県、全国農業地域","time_code","時間軸（年次）","unit","value"
"100","気象被害_冷害","130","被害率_対前年差","00054","四国","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","00056","九州","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","00057","沖縄","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","01000","北海道","2017000000","2017年","ﾎﾟｲﾝﾄ","-0.9"
"100","気象被害_冷害","130","被害率_対前年差","02000","青森県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.4"
"100","気象被害_冷害","130","被害率_対前年差","03000","岩手県","2017000000","2017年","ﾎﾟｲﾝﾄ","1.1"
"100","気象被害_冷害","130","被害率_対前年差","04000","宮城県","2017000000","2017年","ﾎﾟｲﾝﾄ","1.2"
"100","気象被害_冷害","130","被害率_対前年差","05000","秋田県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.2"
"100","気象被害_冷害","130","被害率_対前年差","06000","山形県","2017000000","2017年","ﾎﾟｲﾝﾄ","2.0"
"100","気象被害_冷害","130","被害率_対前年差","07000","福島県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.1"
"100","気象被害_冷害","130","被害率_対前年差","08000","茨城県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.2"
"100","気象被害_冷害","130","被害率_対前年差","09000","栃木県","2017000000","2017年","ﾎﾟｲﾝﾄ","1.6"
"100","気象被害_冷害","130","被害率_対前年差","10000","群馬県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.0"
"100","気象被害_冷害","130","被害率_対前年差","11000","埼玉県","2017000000","2017年","ﾎﾟｲﾝﾄ","-0.1"
"100","気象被害_冷害","130","被害率_対前年差","12000","千葉県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","13000","東京都","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","14000","神奈川県","2017000000","2017年","ﾎﾟｲﾝﾄ","-0.6"
