"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"003","合計_被害量","39000","高知県","t","7420"
"003","合計_被害量","40000","福岡県","t","21300"
"003","合計_被害量","41000","佐賀県","t","23200"
"003","合計_被害量","42000","長崎県","t","12100"
"003","合計_被害量","43000","熊本県","t","27300"
"003","合計_被害量","44000","大分県","t","17000"
"003","合計_被害量","45000","宮崎県","t","15800"
"003","合計_被害量","46000","鹿児島県","t","20600"
"003","合計_被害量","47000","沖縄県","t","322"
"003","合計_被害量","N0013","関東農政局","t","186000"
"003","合計_被害量","N0014","東海農政局","t","35100"
"003","合計_被害量","N0015","中国四国農政局","t","93900"
"004","合計_被害面積率","N0001","全国","%","302.3"
"004","合計_被害面積率","N0002","北海道","%","261.8"
"004","合計_被害面積率","N0003","都府県","%","305.4"
"004","合計_被害面積率","N0004","東北","%","315.3"
"004","合計_被害面積率","N0005","北陸","%","331.6"
"004","合計_被害面積率","N0006","関東・東山","%","269.5"
"004","合計_被害面積率","N0007","東海","%","285.5"
"004","合計_被害面積率","N0008","近畿","%","283.3"
"004","合計_被害面積率","N0009","中国","%","278.5"
"004","合計_被害面積率","N0010","四国","%","319.1"
"004","合計_被害面積率","N0011","九州","%","349.4"
"004","合計_被害面積率","N0012","沖縄","%","37.3"
"004","合計_被害面積率","01000","北海道","%","261.8"
"004","合計_被害面積率","02000","青森県","%","234.4"
"004","合計_被害面積率","03000","岩手県","%","266.8"
"004","合計_被害面積率","04000","宮城県","%","258.0"
"004","合計_被害面積率","05000","秋田県","%","426.6"
"004","合計_被害面積率","06000","山形県","%","362.0"
"004","合計_被害面積率","07000","福島県","%","284.7"
"004","合計_被害面積率","08000","茨城県","%","214.4"
"004","合計_被害面積率","09000","栃木県","%","370.4"
"004","合計_被害面積率","10000","群馬県","%","248.9"
"004","合計_被害面積率","11000","埼玉県","%","355.5"
"004","合計_被害面積率","12000","千葉県","%","125.9"
"004","合計_被害面積率","13000","東京都","%","167.0"
"004","合計_被害面積率","14000","神奈川県","%","225.2"
"004","合計_被害面積率","15000","新潟県","%","410.7"
"004","合計_被害面積率","16000","富山県","%","188.7"
"004","合計_被害面積率","17000","石川県","%","156.8"
"004","合計_被害面積率","18000","福井県","%","368.3"
"004","合計_被害面積率","19000","山梨県","%","234.4"
"004","合計_被害面積率","20000","長野県","%","393.6"
"004","合計_被害面積率","21000","岐阜県","%","232.9"
"004","合計_被害面積率","22000","静岡県","%","257.7"
"004","合計_被害面積率","23000","愛知県","%","346.5"
"004","合計_被害面積率","24000","三重県","%","282.6"
"004","合計_被害面積率","25000","滋賀県","%","306.9"
"004","合計_被害面積率","26000","京都府","%","255.7"
"004","合計_被害面積率","27000","大阪府","%","390.0"
"004","合計_被害面積率","28000","兵庫県","%","250.8"
"004","合計_被害面積率","29000","奈良県","%","257.5"
"004","合計_被害面積率","30000","和歌山県","%","355.6"
"004","合計_被害面積率","31000","鳥取県","%","156.3"
"004","合計_被害面積率","32000","島根県","%","337.6"
"004","合計_被害面積率","33000","岡山県","%","307.7"
"004","合計_被害面積率","34000","広島県","%","208.0"
"004","合計_被害面積率","35000","山口県","%","337.2"
"004","合計_被害面積率","36000","徳島県","%","396.3"
"004","合計_被害面積率","37000","香川県","%","277.1"
