"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","002","気象被害_日照不足","053","(都道府県)_佐賀","ha","11500"
"001","被害面積","002","気象被害_日照不足","054","(都道府県)_長崎","ha","9410"
"001","被害面積","002","気象被害_日照不足","055","(都道府県)_熊本","ha","30000"
"001","被害面積","002","気象被害_日照不足","056","(都道府県)_大分","ha","16700"
"001","被害面積","002","気象被害_日照不足","057","(都道府県)_宮崎","ha","16100"
"001","被害面積","002","気象被害_日照不足","058","(都道府県)_鹿児島","ha","12900"
"001","被害面積","002","気象被害_日照不足","059","(都道府県)_沖縄","ha","－"
"001","被害面積","002","気象被害_日照不足","060","関東農政局","ha","101900"
"001","被害面積","002","気象被害_日照不足","061","東海農政局","ha","29400"
"001","被害面積","002","気象被害_日照不足","062","中国四国農政局","ha","94300"
"001","被害面積","003","気象被害_高温障害","001","全国","ha","653300"
"001","被害面積","003","気象被害_高温障害","002","(全国農業地域)_北海道","ha","－"
"001","被害面積","003","気象被害_高温障害","003","(全国農業地域)_都府県","ha","653300"
"001","被害面積","003","気象被害_高温障害","004","(全国農業地域)_東北","ha","135400"
"001","被害面積","003","気象被害_高温障害","005","(全国農業地域)_北陸","ha","205600"
"001","被害面積","003","気象被害_高温障害","006","(全国農業地域)_関東・東山","ha","132400"
"001","被害面積","003","気象被害_高温障害","007","(全国農業地域)_東海","ha","41700"
"001","被害面積","003","気象被害_高温障害","008","(全国農業地域)_近畿","ha","23100"
"001","被害面積","003","気象被害_高温障害","009","(全国農業地域)_中国","ha","51600"
"001","被害面積","003","気象被害_高温障害","010","(全国農業地域)_四国","ha","30000"
"001","被害面積","003","気象被害_高温障害","011","(全国農業地域)_九州","ha","33500"
"001","被害面積","003","気象被害_高温障害","012","(全国農業地域)_沖縄","ha","－"
"001","被害面積","003","気象被害_高温障害","013","(都道府県)_北海道","ha","－"
"001","被害面積","003","気象被害_高温障害","014","(都道府県)_青森","ha","－"
"001","被害面積","003","気象被害_高温障害","015","(都道府県)_岩手","ha","－"
"001","被害面積","003","気象被害_高温障害","016","(都道府県)_宮城","ha","3510"
"001","被害面積","003","気象被害_高温障害","017","(都道府県)_秋田","ha","2510"
"001","被害面積","003","気象被害_高温障害","018","(都道府県)_山形","ha","64500"
"001","被害面積","003","気象被害_高温障害","019","(都道府県)_福島","ha","64900"
"001","被害面積","003","気象被害_高温障害","020","(都道府県)_茨城","ha","52400"
"001","被害面積","003","気象被害_高温障害","021","(都道府県)_栃木","ha","34300"
"001","被害面積","003","気象被害_高温障害","022","(都道府県)_群馬","ha","3110"
