,date,降水量_香川
470,2021-04-15,0.0
471,2021-04-16,11.24337091725782
472,2021-04-17,5.62168545862891
473,2021-04-18,0.0
474,2021-04-19,0.0
475,2021-04-20,0.0
476,2021-04-21,0.0
477,2021-04-22,0.0
478,2021-04-23,0.0
479,2021-04-24,0.0
480,2021-04-25,0.0
481,2021-04-26,0.0
482,2021-04-27,12.783221468699436
483,2021-04-28,0.0
484,2021-04-29,38.612039432568686
485,2021-04-30,0.0
486,2021-05-01,0.0
487,2021-05-02,0.0
488,2021-05-03,0.0
489,2021-05-04,8.471787366228412
490,2021-05-05,7.334888342002714
491,2021-05-06,0.0
492,2021-05-07,2.330326240703161
493,2021-05-08,4.7148662650378865
494,2021-05-09,0.0
495,2021-05-10,0.0
496,2021-05-11,8.371794683041655
497,2021-05-12,11.966951648663361
498,2021-05-13,0.0
499,2021-05-14,0.0
500,2021-05-15,4.360832622124792
501,2021-05-16,4.993136067243336
502,2021-05-17,7.198464760661932
503,2021-05-18,13.370668315815696
504,2021-05-19,9.382076800901068
505,2021-05-20,27.57234150130916
506,2021-05-21,16.588921683277736
507,2021-05-22,0.71740432822498
508,2021-05-23,0.0
509,2021-05-24,0.0
510,2021-05-25,0.0
511,2021-05-26,7.900357713907441
512,2021-05-27,0.0
513,2021-05-28,21.433295886439424
514,2021-05-29,0.0
515,2021-05-30,0.0
516,2021-05-31,0.0
517,2021-06-01,0.0
518,2021-06-02,0.31434375312294255
519,2021-06-03,29.015360497100808
520,2021-06-04,7.234842544753718
521,2021-06-05,0.0
522,2021-06-06,0.0
523,2021-06-07,0.08431551598175026
524,2021-06-08,0.0
525,2021-06-09,0.0
526,2021-06-10,5.703129360422862
527,2021-06-11,3.7500693948758643
528,2021-06-12,11.052623069223559
529,2021-06-13,0.0
530,2021-06-14,0.0
531,2021-06-15,2.970397466461492
532,2021-06-16,0.0
533,2021-06-17,0.0
534,2021-06-18,2.9622727330238683
535,2021-06-19,0.0
536,2021-06-20,0.0
537,2021-06-21,0.0
538,2021-06-22,0.0
539,2021-06-23,0.0
540,2021-06-24,0.0
541,2021-06-25,10.09568643175273
542,2021-06-26,1.5315069251709905
543,2021-06-27,8.053977139647335
544,2021-06-28,9.204545540590766
545,2021-06-29,0.0
546,2021-06-30,8.053977139647335
547,2021-07-01,0.0
548,2021-07-02,10.301753950800727
549,2021-07-03,6.297276927439946
550,2021-07-04,0.0
551,2021-07-05,0.0
552,2021-07-06,0.0
553,2021-07-07,40.60863812908003
554,2021-07-08,14.233967950417638
555,2021-07-09,17.592289390736187
556,2021-07-10,0.0
557,2021-07-11,0.4315804229632996
558,2021-07-12,0.307918952227177
559,2021-07-13,12.891321648324315
560,2021-07-14,12.983363990410544
561,2021-07-15,1.9837645759611224
562,2021-07-16,8.114511802377693
563,2021-07-17,10.513546741663557
564,2021-07-18,6.343503766529896
565,2021-07-19,0.0
566,2021-07-20,0.0
567,2021-07-21,0.0
568,2021-07-22,0.0
569,2021-07-23,0.0
570,2021-07-24,0.0
571,2021-07-25,0.0
572,2021-07-26,0.0
573,2021-07-27,0.0
574,2021-07-28,0.0
575,2021-07-29,0.0
576,2021-07-30,0.0
577,2021-07-31,0.0
578,2021-08-01,0.0
579,2021-08-02,0.0
580,2021-08-03,0.0
581,2021-08-04,0.0
582,2021-08-05,0.0
583,2021-08-06,0.0
584,2021-08-07,0.0
585,2021-08-08,37.10768820774833
