,hanjun_start,積算温度_福建省_1半旬前,積算温度_福建省_2半旬前,積算温度_福建省_3半旬前,積算温度_福建省_4半旬前,積算温度_福建省_5半旬前,積算温度_福建省_6半旬前,積算温度_福建省_7半旬前,積算温度_福建省_8半旬前,積算温度_福建省_9半旬前,積算温度_福建省_10半旬前,積算温度_福建省_11半旬前,積算温度_福建省_12半旬前,積算温度_福建省_13半旬前,積算温度_福建省_14半旬前,積算温度_福建省_15半旬前,積算温度_福建省_16半旬前,積算温度_福建省_17半旬前,積算温度_福建省_18半旬前
83,2021-02-26,63.67945034887082,46.48586179146901,58.92525490936574,62.6002258038348,56.965693785067046,43.981834478637744,56.761284797151646,34.73073815817884,32.052445016904194,3.104381339016053,26.80763701123141,12.118345157171747,44.36865154294362,18.95673499267949,26.26627472937669,32.150000000000034,45.64130107030335,50.30802022613967
84,2021-03-01,58.80237660648365,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216,14.498824188130003,20.382549458753346,32.150000000000034,37.736490084787455,48.31216360607066
85,2021-03-06,53.92530286409647,53.07682548674068,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216,14.498824188130003,23.324412094065018,32.150000000000034,37.736490084787455
86,2021-03-11,49.0482291217093,51.06252730422499,53.07682548674068,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216,14.498824188130003,23.324412094065018,32.150000000000034
87,2021-03-16,69.161145878291,49.0482291217093,51.06252730422499,53.07682548674068,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216,14.498824188130003,23.324412094065018
88,2021-03-21,80.39716632498944,69.161145878291,49.0482291217093,51.06252730422499,53.07682548674068,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216,14.498824188130003
89,2021-03-26,58.09143288735448,80.39716632498944,69.161145878291,49.0482291217093,51.06252730422499,53.07682548674068,55.091123669256376,52.13125202309039,31.537811583577824,62.8762495953821,54.43417718673588,40.13644214861188,61.8196988293053,31.480359930226022,16.67176125737318,5.919345462883116,12.11206602467281,35.56193263559216
90,2021-04-01,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,51.06252730422499,53.07682548674068,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394,58.46204952524835,33.70395649007352,31.135888721047497,6.102246304488653,24.242768993025994
91,2021-04-06,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,51.06252730422499,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394,58.46204952524835,33.70395649007352,31.135888721047497,6.102246304488653
92,2021-04-11,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394,58.46204952524835,33.70395649007352,31.135888721047497
93,2021-04-16,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394,58.46204952524835,33.70395649007352
94,2021-04-21,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394,58.46204952524835
95,2021-04-26,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619,35.49311005308394
96,2021-05-01,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061,54.24136118004619
97,2021-05-06,79.97589921542652,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574,64.62108194864061
98,2021-05-11,66.45612244897983,79.97589921542652,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073,58.92525490936574
99,2021-05-16,98.23591019889817,66.45612244897983,79.97589921542652,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459,46.31547574090073
100,2021-05-21,102.76200499407774,98.23591019889817,66.45612244897983,79.97589921542652,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949,58.91967028125459
101,2021-05-26,100.82575103378292,102.76200499407774,98.23591019889817,66.45612244897983,79.97589921542652,93.49567598187323,95.45676476570895,49.09151410725837,77.85779267096635,60.343116883117034,55.387120561550404,76.11354930945208,58.09143288735448,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244,55.62918989473949
102,2021-06-01,98.88949707348809,90.24515989628368,94.24053504759092,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,57.98027823603694,64.23154941735021,70.41375821113415,75.0626105955979,49.0482291217093,52.3387095082244
103,2021-06-06,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,61.050336501034806,64.23154941735021,70.41375821113415,75.0626105955979,49.0482291217093
104,2021-06-11,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,61.050336501034806,64.23154941735021,70.41375821113415,75.0626105955979
105,2021-06-16,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,61.050336501034806,64.23154941735021,70.41375821113415
106,2021-06-21,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,61.050336501034806,64.23154941735021
107,2021-06-26,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194,61.050336501034806
108,2021-07-01,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166,57.8691235847194
109,2021-07-06,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635,57.96648803724166
110,2021-07-11,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993,77.85779267096635
111,2021-07-16,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958,89.17907867524993
112,2021-07-21,82.0089101620031,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,79.97589921542652,93.49567598187323,100.42930894308958
113,2021-07-26,109.3737225097026,82.0089101620031,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,99.2640098542119,66.45612244897983,93.79703563500806,93.49567598187323
114,2021-08-01,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,94.75458487524779,100.245588102952,94.09839528814287,66.45612244897983
115,2021-08-06,88.41998103567937,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,95.24537399961784,100.245588102952,94.09839528814287
116,2021-08-11,78.7218791818009,88.41998103567937,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,95.24537399961784,100.245588102952
117,2021-08-16,90.9392858711515,78.7218791818009,88.41998103567937,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,94.37014022813624,92.93707940780637,110.7318191056912,106.78437842829017,102.83693775088912,98.88949707348809,90.24515989628368,95.24537399961784
118,2021-08-21,103.1566925605021,90.9392858711515,78.7218791818009,88.41998103567937,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,95.80320104846612,96.53008663872465,92.93707940780637,110.7318191056912,106.78437842829017,101.74144586295073,98.88949707348809,90.24515989628368
119,2021-08-26,77.71388805296435,103.1566925605021,78.38588213885538,78.7218791818009,88.41998103567937,98.11808288955785,123.97360406776015,99.29538351448592,99.24075357297548,105.90358086965921,97.23626186879599,100.12309386964294,86.31544225411182,92.93707940780637,110.7318191056912,104.59339465241338,101.74144586295073,98.88949707348809
