,hanjun_start,積算温度_香川県_1半旬前,積算温度_香川県_2半旬前,積算温度_香川県_3半旬前,積算温度_香川県_4半旬前,積算温度_香川県_5半旬前,積算温度_香川県_6半旬前,積算温度_香川県_7半旬前,積算温度_香川県_8半旬前,積算温度_香川県_9半旬前,積算温度_香川県_10半旬前,積算温度_香川県_11半旬前,積算温度_香川県_12半旬前,積算温度_香川県_13半旬前,積算温度_香川県_14半旬前,積算温度_香川県_15半旬前,積算温度_香川県_16半旬前,積算温度_香川県_17半旬前,積算温度_香川県_18半旬前
166,2022-04-21,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182,0.0
167,2022-04-26,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182
168,2022-05-01,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529
169,2022-05-06,62.88661431659086,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0
170,2022-05-11,73.08505603639604,62.88661431659086,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614
171,2022-05-16,79.97620395674058,73.08505603639604,62.88661431659086,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0
172,2022-05-21,86.86735187708511,79.97620395674058,73.08505603639604,62.88661431659086,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092
173,2022-05-26,80.19235696721968,86.86735187708511,79.97620395674058,73.08505603639604,62.88661431659086,47.66912441855016,53.269777521966034,49.81988226127284,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686
174,2022-06-01,90.7911795799465,80.19235696721968,86.86735187708511,79.97620395674058,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046,33.22074895456482,39.419480727967695,40.92106278093643,17.95916028442117,1.6949607045030726
175,2022-06-06,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046,33.22074895456482,37.070905867750625,40.92106278093643,17.95916028442117
176,2022-06-11,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046,33.22074895456482,37.070905867750625,40.92106278093643
177,2022-06-16,78.39065369078233,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046,33.22074895456482,37.070905867750625
178,2022-06-21,96.54859864680746,78.39065369078233,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046,33.22074895456482
179,2022-06-26,91.91666666666671,96.54859864680746,78.39065369078233,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635,7.321484870554046
180,2022-07-01,108.28384782847051,91.91666666666671,96.54859864680746,78.39065369078233,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227,39.372649924039635
181,2022-07-06,117.50280270638564,108.28384782847051,91.91666666666671,96.54859864680746,78.39065369078233,52.39640387876697,89.68256903005542,90.7911795799465,80.19235696721968,86.86735187708511,79.9665469914245,73.06574210576387,62.88691925480446,47.66912441855016,53.269777521966034,50.015818180394525,66.23121466272005,66.37116125546227
